indicID,indicName,publishTime,periodDate,dataValue,unit,region,dataSource,updateTime
指标代码,指标全称,数据发布时间,数据日期,数据值,单位,地区,数据来源,数据更新时间
M020000019,月_中国采购经理指数_制造业_供货商配送时间,2014-04-01 09:00:00,2014-03-31,49.8,%,中国,国家统计局,2014-05-28 14:40:21
M020000019,月_中国采购经理指数_制造业_供货商配送时间,2014-03-01 09:00:00,2014-02-28,49.9,%,中国,国家统计局,2014-05-28 14:40:21
M020000019,月_中国采购经理指数_制造业_供货商配送时间,2014-02-01 09:00:00,2014-01-31,49.8,%,中国,国家统计局,2014-05-28 14:40:21
M020000020,月_中国采购经理指数_制造业_生产经营活动预期,2015-01-01 09:00:00,2014-12-31,48.7,%,中国,国家统计局,2015-01-05 09:05:53
M020000020,月_中国采购经理指数_制造业_生产经营活动预期,2014-12-01 09:00:00,2014-11-30,52.2,%,中国,国家统计局,2014-12-05 16:42:54
M020000020,月_中国采购经理指数_制造业_生产经营活动预期,2014-11-01 09:00:00,2014-10-31,54.1,%,中国,国家统计局,2014-11-03 09:11:46
M020000020,月_中国采购经理指数_制造业_生产经营活动预期,2014-10-01 09:00:00,2014-09-30,56,%,中国,国家统计局,2014-10-08 09:26:22
M020000020,月_中国采购经理指数_制造业_生产经营活动预期,2014-09-01 09:00:00,2014-08-31,57.9,%,中国,国家统计局,2014-09-01 09:03:20
M020000020,月_中国采购经理指数_制造业_生产经营活动预期,2014-08-01 09:00:00,2014-07-31,55.3,%,中国,国家统计局,2014-08-06 09:04:41
M020000020,月_中国采购经理指数_制造业_生产经营活动预期,2014-07-01 09:00:00,2014-06-30,54.8,%,中国,国家统计局,2014-07-01 09:12:14
M020000020,月_中国采购经理指数_制造业_生产经营活动预期,2014-06-01 09:00:00,2014-05-31,56.2,%,中国,国家统计局,2014-06-12 16:40:20
M020000020,月_中国采购经理指数_制造业_生产经营活动预期,2014-05-01 09:00:00,2014-04-30,59.6,%,中国,国家统计局,2014-06-09 09:50:59
M020000020,月_中国采购经理指数_制造业_生产经营活动预期,2014-04-01 09:00:00,2014-03-31,62.7,%,中国,国家统计局,2014-05-28 14:40:21
M020000020,月_中国采购经理指数_制造业_生产经营活动预期,2014-03-01 09:00:00,2014-02-28,61.8,%,中国,国家统计局,2014-05-28 14:40:21
M020000020,月_中国采购经理指数_制造业_生产经营活动预期,2014-02-01 09:00:00,2014-01-31,51.3,%,中国,国家统计局,2014-05-28 14:40:21
M020000021,月_中国采购经理指数_制造业_大型企业,2015-01-01 09:00:00,2014-12-31,51.4,%,中国,国家统计局,2015-01-05 09:05:53
M020000021,月_中国采购经理指数_制造业_大型企业,2014-12-01 09:00:00,2014-11-30,51.6,%,中国,国家统计局,2014-12-01 09:08:11
M020000021,月_中国采购经理指数_制造业_大型企业,2014-11-01 09:00:00,2014-10-31,51.9,%,中国,国家统计局,2014-11-03 09:11:46
M020000021,月_中国采购经理指数_制造业_大型企业,2014-10-01 09:00:00,2014-09-30,52,%,中国,国家统计局,2014-10-08 09:26:22
M020000021,月_中国采购经理指数_制造业_大型企业,2014-09-01 09:00:00,2014-08-31,51.9,%,中国,国家统计局,2014-09-01 09:03:20
M020000021,月_中国采购经理指数_制造业_大型企业,2014-08-01 09:00:00,2014-07-31,52.6,%,中国,国家统计局,2014-08-06 09:04:41
M020000021,月_中国采购经理指数_制造业_大型企业,2014-07-01 09:00:00,2014-06-30,51.5,%,中国,国家统计局,2014-07-01 09:12:14
M020000021,月_中国采购经理指数_制造业_大型企业,2014-06-01 09:00:00,2014-05-31,50.9,%,中国,国家统计局,2014-06-12 16:40:20
M020000021,月_中国采购经理指数_制造业_大型企业,2014-05-01 09:00:00,2014-04-30,50.8,%,中国,国家统计局,2014-06-09 09:50:59
M020000021,月_中国采购经理指数_制造业_大型企业,2014-04-01 09:00:00,2014-03-31,51,%,中国,国家统计局,2014-05-28 14:40:21
M020000021,月_中国采购经理指数_制造业_大型企业,2014-03-01 09:00:00,2014-02-28,50.7,%,中国,国家统计局,2014-05-28 14:40:21
M020000021,月_中国采购经理指数_制造业_大型企业,2014-02-01 09:00:00,2014-01-31,51.4,%,中国,国家统计局,2014-05-28 14:40:21
M020000022,月_中国采购经理指数_制造业_中型企业,2015-01-01 09:00:00,2014-12-31,48.7,%,中国,国家统计局,2015-01-05 09:05:53
M020000022,月_中国采购经理指数_制造业_中型企业,2014-12-01 09:00:00,2014-11-30,48.4,%,中国,国家统计局,2014-12-01 09:08:11
M020000022,月_中国采购经理指数_制造业_中型企业,2014-11-01 09:00:00,2014-10-31,49.1,%,中国,国家统计局,2014-11-03 09:11:46
M020000022,月_中国采购经理指数_制造业_中型企业,2014-10-01 09:00:00,2014-09-30,50,%,中国,国家统计局,2014-10-08 09:26:22
M020000022,月_中国采购经理指数_制造业_中型企业,2014-09-01 09:00:00,2014-08-31,49.9,%,中国,国家统计局,2014-09-01 09:03:20
M020000022,月_中国采购经理指数_制造业_中型企业,2014-08-01 09:00:00,2014-07-31,50.1,%,中国,国家统计局,2014-08-06 09:04:41
M020000022,月_中国采购经理指数_制造业_中型企业,2014-07-01 09:00:00,2014-06-30,51.1,%,中国,国家统计局,2014-07-01 09:12:14
M020000022,月_中国采购经理指数_制造业_中型企业,2014-06-01 09:00:00,2014-05-31,51.4,%,中国,国家统计局,2014-06-12 16:40:20
M020000022,月_中国采购经理指数_制造业_中型企业,2014-05-01 09:00:00,2014-04-30,50.3,%,中国,国家统计局,2014-06-09 09:50:59
M020000022,月_中国采购经理指数_制造业_中型企业,2014-04-01 09:00:00,2014-03-31,49.2,%,中国,国家统计局,2014-05-28 14:40:21
M020000022,月_中国采购经理指数_制造业_中型企业,2014-03-01 09:00:00,2014-02-28,49.4,%,中国,国家统计局,2014-05-28 14:40:21
M020000022,月_中国采购经理指数_制造业_中型企业,2014-02-01 09:00:00,2014-01-31,49.5,%,中国,国家统计局,2014-05-28 14:40:21
M020000023,月_中国采购经理指数_制造业_小型企业,2015-01-01 09:00:00,2014-12-31,45.5,%,中国,国家统计局,2015-01-05 09:05:53
M020000023,月_中国采购经理指数_制造业_小型企业,2014-12-01 09:00:00,2014-11-30,47.6,%,中国,国家统计局,2014-12-01 09:08:11
M020000023,月_中国采购经理指数_制造业_小型企业,2014-11-01 09:00:00,2014-10-31,48.5,%,中国,国家统计局,2014-11-03 09:11:46
M020000023,月_中国采购经理指数_制造业_小型企业,2014-10-01 09:00:00,2014-09-30,48.6,%,中国,国家统计局,2014-10-08 09:26:22
M020000023,月_中国采购经理指数_制造业_小型企业,2014-09-01 09:00:00,2014-08-31,49.1,%,中国,国家统计局,2014-09-01 09:03:20
M020000023,月_中国采购经理指数_制造业_小型企业,2014-08-01 09:00:00,2014-07-31,50.1,%,中国,国家统计局,2014-08-06 09:04:41
M020000023,月_中国采购经理指数_制造业_小型企业,2014-07-01 09:00:00,2014-06-30,48.4,%,中国,国家统计局,2014-07-01 09:12:14
